year,name,party,word_count,freq_dist_filtered
1790,George Washington,none,1400,"{'I': 8, 'public': 5, 'The': 15, 'country': 5, 'u': 8, 'measure': 5, 'may': 6, 'made': 7, 'object': 5}"
1791,George Washington,none,2301,"{'In': 7, 'may': 13, 'Indians': 5, 'I': 6, 'upon': 9, 'present': 5, 'measure': 6, 'important': 7, 'public': 10, 'well': 5, 'law': 9, 'United': 17, 'States': 18, 'made': 7, 'The': 16, 'Government': 6, 'object': 8, 'time': 5, 'proper': 7, 'necessary': 5, 'It': 5, 'provision': 9, 'act': 5, 'debt': 6, 'post': 5}"
1792,George Washington,none,2096,"{'It': 8, 'I': 21, 'present': 5, 'information': 6, 'hostility': 5, 'part': 6, 'tribe': 5, 'nation': 7, 'peace': 5, 'A': 7, 'proper': 6, 'The': 9, 'In': 6, 'made': 8, 'public': 5, 'service': 5, 'among': 6, 'would': 5, 'upon': 11, 'United': 5, 'States': 5, 'subject': 6, 'provision': 8, 'law': 11, 'may': 6, 'attention': 5}"
1793,George Washington,none,1963,"{'I': 12, 'public': 7, 'But': 7, 'Executive': 5, 'power': 5, 'nation': 7, 'United': 22, 'States': 24, 'peace': 6, 'within': 7, 'shall': 7, 'military': 6, 'law': 5, 'may': 8, 'without': 5, 'The': 11}"
1794,George Washington,none,2913,"{'power': 6, 'I': 18, 'United': 15, 'States': 19, 'insurrection': 6, 'It': 8, 'Government': 11, 'Constitution': 8, 'In': 6, 'Pennsylvania': 8, 'men': 7, 'would': 10, 'The': 9, 'law': 14, 'every': 7, 'therefore': 5, 'upon': 7, 'time': 5, 'militia': 10, 'may': 12}"
1795,George Washington,none,1984,"{'I': 12, 'situation': 5, 'public': 7, 'The': 13, 'Indians': 9, 'United': 5, 'States': 5, 'treaty': 5, 'tranquillity': 5, 'upon': 5, 'may': 7, 'made': 5, 'power': 5, 'part': 6, 'country': 8, 'provision': 5}"
1796,George Washington,none,2865,"{'In': 8, 'country': 11, 'I': 19, 'last': 7, 'The': 21, 'would': 5, 'peace': 5, 'treaty': 8, 'state': 6, 'Government': 6, 'object': 5, 'without': 6, 'nation': 10, 'United': 16, 'States': 16, 'establishment': 6, 'military': 5, 'may': 12, 'period': 5, 'His': 6, 'Majesty': 5, 'subject': 5, 'made': 6, 'commissioner': 9, 'appointed': 5, 'part': 6, 'Great': 5, 'Britain': 5, 'time': 8, 'men': 5, 'attention': 5, 'shall': 7, 'war': 12, 'present': 5, 'success': 5, 'every': 5, 'force': 5, 'This': 5, 'respect': 5, 'much': 5, 'public': 11, 'national': 6, 'institution': 5}"
1797,John Adams,Federalist,2057,"{'Gentlemen': 5, 'I': 11, 'time': 5, 'necessary': 5, 'measure': 7, 'much': 5, 'public': 5, 'without': 5, 'upon': 5, 'sea': 5, 'within': 7, 'th': 6, 'may': 7, 'United': 18, 'States': 18, 'defense': 6, 'The': 18, 'treaty': 11, 'nation': 5, 'commerce': 7, 'country': 7, 'subject': 6, 'foreign': 5, 'commissioner': 8, 'article': 6, 'met': 5, 'claim': 5, 'vessel': 6, 'sum': 5}"
1798,John Adams,Federalist,2218,"{'Gentlemen': 5, 'Government': 6, 'made': 5, 'I': 11, 'law': 6, 'States': 15, 'may': 6, 'commerce': 8, 'subject': 5, 'country': 6, 'The': 7, 'United': 14, 'France': 10, 'measure': 8, 'It': 6, 'part': 7, 'war': 5, 'peace': 5, 'treaty': 6, 'commissioner': 9, 'boundary': 5, 'great': 5}"
1799,John Adams,Federalist,1505,"{'Gentlemen': 5, 'It': 5, 'I': 12, 'United': 10, 'States': 10, 'The': 7, 'law': 5, 'necessary': 5, 'Government': 7, 'country': 7, 'treaty': 5}"
