year,oil,college,gun,border,terrorism,immigration,economy,crime,abortion,housing,healthcare,refugees,war,climate,military,law enforcement,racism,energy,inflation,deficit,debt,farmers,election,business,women,children,retirement,diplomacy,workforce,internet,satellite,transportation,freedom,hope,equality,liberty,diaspora,minorties,religion,faith,police,racism,veterans,weapons,taxes,infrastructure,trade,benefits,nuclear,students
1819,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
1820,0,0,0,0,0,0,2,0,0,0,0,0,8,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
1821,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0
1822,0,0,0,0,0,0,2,0,0,0,0,0,13,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1823,0,0,0,0,0,1,1,1,0,0,0,0,5,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1824,0,0,0,0,0,0,0,2,0,0,0,0,19,1,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,0,0,1,0,0,0,0,0,0,9,0,0,0
1825,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,3,0,0,12,0,0,0,0,1,1,0,0,0,0,1,1,2,1,3,0,0,0,1,0,0,0,0,2,0,5,1,0,0
1826,0,0,0,0,0,0,1,0,0,0,0,0,10,0,5,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,4,3,4,2,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0
1827,0,0,0,0,0,0,2,0,0,0,0,0,7,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,3,4,0,3,0,0,0,0,0,0,0,0,1,0,7,0,0,0
1828,0,0,0,1,0,0,0,0,0,0,0,0,7,0,2,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,5,0,1,0,0,1,0,0,0,0,0,0,0,7,1,0,0
1829,0,0,0,0,0,0,2,1,0,0,0,0,8,0,3,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,1,1,7,1,3,0,0,0,0,0,0,0,0,0,0,2,5,0,0
1830,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,7,0,0,2,0,4,0,0,0,0,0,1,1,8,1,6,0,0,1,2,0,0,0,0,1,0,13,2,0,0
1831,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,8,0,2,0,0,1,1,0,0,0,0,0,0,14,1,0,0
1832,0,0,0,0,0,0,2,0,0,0,0,0,7,0,1,0,0,1,0,0,11,1,0,3,0,0,0,0,0,0,0,1,1,5,1,6,0,0,0,3,0,0,1,0,1,0,3,1,0,0
1833,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,3,0,0,0,0,1,0,3,2,0,0
1834,0,0,0,1,0,0,3,0,0,0,0,0,6,0,3,0,0,0,0,2,11,0,0,2,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,4,0,0,0,0,0,0,5,5,0,0
1835,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,6,1,0,4,0,0,0,0,0,0,0,0,3,6,3,1,0,0,0,3,0,0,0,0,0,0,3,3,0,0
1836,0,0,0,0,0,0,2,0,0,0,0,0,5,0,3,0,0,0,0,0,4,0,0,7,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,1,0,0,0,1,9,0,2,0,0,0
1837,0,0,0,1,0,0,2,0,0,0,0,0,4,0,3,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0
1838,0,0,0,3,0,0,2,1,0,0,0,0,4,3,7,0,0,1,0,0,1,0,0,7,0,0,1,0,0,0,0,2,2,6,0,2,0,0,1,3,0,0,0,0,1,0,9,4,0,0
1839,0,0,0,1,0,0,4,2,0,0,0,0,4,1,0,0,0,1,0,0,19,0,0,13,0,1,0,0,0,0,0,4,1,5,0,0,0,0,0,5,1,0,0,0,1,0,21,3,0,0
1840,0,0,0,1,0,0,3,0,0,0,0,0,2,1,1,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,3,0,0,0,0,2,0,9,3,0,0
1841,0,0,0,1,0,0,1,0,0,0,0,0,5,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,3,1,2,0,0,0,2,2,0,0,0,2,0,8,0,0,0
1842,0,0,0,1,0,0,3,0,0,0,0,0,9,1,4,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,4,0,0,0,0,1,0,12,6,0,0
1843,0,0,0,3,0,0,1,1,0,0,0,0,13,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0
1844,0,1,0,0,0,0,2,0,0,0,0,0,17,0,1,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,0,3,3,4,0,4,0,0,0,1,0,0,0,0,1,0,9,4,0,0
1845,0,0,0,0,0,0,1,0,0,0,0,0,11,0,5,0,0,0,0,0,8,0,0,7,0,0,0,1,0,0,0,0,2,3,1,2,0,0,0,3,0,0,0,0,1,0,8,3,0,0
1846,0,0,0,0,0,0,0,0,0,0,0,0,64,0,17,0,0,4,0,0,6,1,0,5,0,0,0,0,0,0,0,2,0,6,0,5,0,0,0,5,0,0,0,0,6,0,6,0,0,0
1847,0,0,0,2,0,0,0,3,0,0,0,0,85,0,30,0,0,3,1,0,11,1,0,4,0,2,0,0,0,0,0,6,2,2,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0
1848,0,0,0,0,0,0,1,0,0,0,0,0,61,4,13,0,0,6,1,0,16,1,0,10,0,0,0,0,0,0,0,4,1,3,3,1,0,0,0,1,0,0,0,0,7,0,11,2,0,0
1849,0,0,0,1,0,0,1,1,0,0,0,0,5,0,5,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0
1850,0,0,0,1,0,1,0,0,0,0,0,0,2,0,4,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0
1851,0,0,0,2,0,0,3,2,0,0,0,0,5,2,11,0,0,2,0,0,8,0,0,2,0,0,0,0,0,0,0,5,1,7,1,2,0,0,1,1,0,0,0,0,0,0,3,2,0,0
1852,0,0,0,1,0,0,1,1,0,0,0,0,1,0,3,0,0,2,0,0,4,0,0,5,0,1,0,0,0,0,0,1,4,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1853,0,0,0,0,0,0,1,1,0,0,0,0,6,1,3,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,3,0,0,0,0,0,0,4,1,0,0
1854,0,0,0,1,0,0,1,0,0,0,0,0,18,0,9,0,0,2,0,0,5,0,0,3,0,0,0,0,0,0,0,4,0,4,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1855,0,0,0,0,0,0,0,0,0,0,0,0,18,2,8,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,2,4,2,3,0,0,0,1,8,0,0,0,0,0,0,0,3,0,0
1856,0,0,0,1,0,0,1,0,0,0,0,0,8,1,5,0,0,2,0,0,5,0,0,2,0,1,0,0,0,0,0,3,6,2,4,9,0,0,3,1,0,0,0,0,0,0,2,1,0,0
1857,0,0,0,0,0,0,3,1,0,0,0,0,17,0,10,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,2,1,4,3,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0
1858,0,0,0,3,0,0,5,0,0,0,0,0,15,1,7,0,0,1,2,2,8,0,0,8,0,2,0,1,0,0,0,2,1,7,1,0,0,0,2,1,0,0,0,0,2,0,15,3,0,0
1859,0,0,1,0,0,0,3,1,0,0,0,0,22,0,6,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,5,0,1,0,0,0,3,0,0,0,0,0,0,17,1,0,0
1860,0,0,0,0,0,0,1,2,0,0,0,0,19,0,7,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,4,3,1,0,0,0,2,3,0,0,0,0,1,0,6,1,0,0
1861,0,0,0,0,0,1,1,0,0,0,0,0,6,1,5,0,0,3,0,0,2,0,0,4,0,0,1,0,0,0,0,1,0,6,0,1,0,0,0,1,0,0,0,0,1,0,4,1,0,0
1862,0,0,0,0,0,0,1,0,0,0,0,0,17,1,3,0,0,0,0,0,10,0,0,1,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
